finding,ICD10_code,PFx,PFx_ICD10_Code,_0_agent_icd10_codes,_0_icd10_matches,_0_pfx_icd10_matches,_0_flesch,accuracy_agent_icd10,accuracy_pfx_icd10,readability_difference,overall_score,log_overall_score
Ependymoma,D33.3,"An ependymoma is a kind of tumor that starts in the brain or spinal cord. Imagine it like a group of extra cells growing together in a ball. Usually, our brain and spine have special cells to help protect them with fluid, but sometimes these cells can get clumped into a lump, like pieces of clay sticking together. While ependymomas can grow in kids and adults, they happen more often in younger people. Doctors will decide how best to look after it, and remember, everyone's situation is unique.",D33.3,C71.9,False,True,70.53,0.0,1.0,14.469999999999999,0.8129282482223659,3.694
Focal Cortical Dysplasia,Q04.3,"Focal Cortical Dysplasia (FCD) is when a small area in the brain forms differently. Think of it like a patch in a garden where plants didn't grow in straight lines. This happens while a baby is still growing in the mother's womb. Sometimes, FCD can make someone have seizures, which are quick bursts of activity in the brain. Knowing about FCD helps doctors understand why this might happen, even if they were not originally looking for it. It is part of understanding the brain better.",Q04.3,Q04.3,True,True,73.98,1.0,1.0,11.019999999999996,1.6166389351081532,3.8039999999999994
Infarct (Old),I69.998,"An ""infarct"" means part of your brain didn't get enough blood in the past. This made that part stop working right. It's like when a plant doesn't get water, and some leaves turn brown. Here, your brain didn't get enough oxygen and food. But don't worry. This happened long ago and your body has tried to fix it. Taking care of yourself can help make sure new problems don't happen. Eat well, exercise, and keep healthy habits to support your brain health.",I69.3,I69.30,False,False,94.86,0.0,0.0,9.86,0.01841620626151013,-1.972
Lacunar Infarction,I63.9,"In your brain, there are tiny tubes called blood vessels. Imagine if one gets blocked, like a traffic jam, and the blood can't move through. This is called a lacunar infarction, a small stroke in a deep part of the brain. It's like a tiny problem that might become bigger if not watched. It can sometimes make it hard to remember things or move easily. Doctors study these to learn more about the brain and help keep you healthy. It may not cause big problems, but it's important to know about it.",I63.81,I63.81,False,False,92.02,0.0,0.0,7.019999999999996,0.024937655860349142,-1.4039999999999992
Leukoencephalopathy,G93.49,"Leukoencephalopathy means changes in the white matter of the brain. The white matter is like roads that help send messages in your brain and body. Imagine they are like the wires that keep a computer connected. Sometimes, this white matter can change if you get sick, hurt, or for some other reasons. These changes may not make you feel different right away, but it is important for doctors to watch them. Every person’s brain is unique, and changes can have different effects on people. Understanding these changes helps ensure the brain stays healthy.",G93.49,G93.49,True,True,83.36,1.0,1.0,1.6400000000000006,1.6757575757575758,1.9280000000000002
Low-Grade Glioma,D33.0,"A low-grade glioma is a kind of brain tumor. It usually grows slowly. It comes from the brain's helper cells. These tumors are not cancer, so they are called benign. Imagine it like a small bush in a garden. It’s there but doesn't cause much trouble. Doctors just watch them closely. Some people with this tumor might have headaches or feel dizzy. But often, the doctor only needs to check it from time to time. It’s important to remember that it's not as scary as it sounds because it behaves calmly.",D33.0,D33.0,True,True,87.62,1.0,1.0,2.6200000000000045,1.6552486187845303,1.0759999999999992
Meningioma,D32.0,"A meningioma is a type of bump in the brain. Imagine it like a little lump that's extra. It's not like a wart or a mole, but it’s a bit similar since it’s something extra in the brain. Most of these bumps are not cancer, which means they don’t spread and make you sick all over. A lot of people have them without ever noticing. Still, it’s good for doctors to look at them sometimes to make sure they don’t grow big or cause problems.",D32.0,D32.9,False,True,90.9,0.0,1.0,5.900000000000006,0.8289855072463769,-0.3800000000000012
Multiple Sclerosis Plaques,G35,"Multiple sclerosis plaques are patches of damage in the brain or spine. Imagine an electric wire with its cover worn down. These patches form because the nerve's shield gets damaged. Without this shield, the brain struggles to send messages to the body. This can make someone feel worn out, have trouble moving, or see blurry. It’s important to notice how you feel and if there are any changes. Pay attention to your body and let someone know if you notice something different. Staying aware helps keep you informed about what is happening with your health.",G35,G35,True,True,84.78,1.0,1.0,0.21999999999999886,1.7639344262295085,1.644
Normal Pressure Hydrocephalus,G91.2,"Normal Pressure Hydrocephalus (NPH) is when extra fluid builds up in the brain. Think of it like having too much water in a sponge. In NPH, this doesn't make your head bigger but can affect how you walk, think, or use the bathroom. You might feel a bit shaky or forgetful. Remember though, even with this fluid, the pressure in your head stays normal. It does not happen often to people. If you have NPH, doctors help by fixing how you walk, think, and use the bathroom better.",G91.2,G91.2,True,True,84.07,1.0,1.0,0.9300000000000068,1.7036269430051811,1.7860000000000014
Periventricular Leukomalacia,P91.2,"Periventricular leukomalacia, or PVL, is a brain issue mostly in babies born early. It means that some parts of the brain, near the fluid spaces, are hurt and become very soft. Think of it like a bunch of plants that didn't get enough water or sunlight, making them weak. In PVL, parts of the brain don’t get enough oxygen or blood. This can make it hard for a baby to move well or learn the same way as others. Babies with PVL might need extra help as they grow.",P91.2,P91.2,True,True,90.29,1.0,1.0,5.290000000000006,1.6317965023847378,0.5419999999999987
