finding,ICD10_code,PFx,PFx_ICD10_code,_0_agent_icd10_codes,_0_icd10_matches,_0_pfx_icd10_matches,_0_flesch,accuracy_agent_icd10,accuracy_pfx_icd10,readability_difference,overall_score,log_overall_score
Adrenal Adenoma,D35.00,"An adrenal adenoma is a small, non-cancerous tumor found on the adrenal gland, which is located on top of the kidneys. These tumors are often discovered by accident during imaging tests for other reasons. Most adrenal adenomas do not cause any symptoms and do not require treatment. However, in some cases, they can produce hormones that might lead to symptoms like high blood pressure or weight gain. If you experience any unusual symptoms, it's important to let your doctor know so they can decide if any further tests or treatments are needed.",D35.00,D35.00,True,True,61.26,1.0,1.0,23.740000000000002,1.6080840743734843,6.348000000000001
Adrenal Hematoma,E27.8,"An adrenal hematoma is a collection of blood in the adrenal gland, often found by accident during imaging tests for other reasons. This condition is usually harmless and doesn't cause symptoms. Most of the time, it doesn't need any treatment and will resolve on its own. However, if you experience symptoms like pain in your side or changes in blood pressure, it's important to let your doctor know. They might want to keep an eye on it to make sure it doesn't cause any problems.",D35.00,D35.00,False,False,71.14,0.0,0.0,13.86,0.013458950201884255,2.7720000000000002
Adrenal Hyperplasia,E27.0,"Adrenal hyperplasia is a condition where the adrenal glands, located on top of your kidneys, become larger than normal. This is often found by accident during imaging tests for other reasons. Most of the time, adrenal hyperplasia doesn't cause any symptoms and doesn't need treatment. However, in some cases, it can affect hormone levels in your body, which might lead to symptoms like fatigue, weight changes, or high blood pressure. If you notice any unusual symptoms, it's important to talk to your doctor to see if any further evaluation is needed.",E27.0,E27.0,True,True,61.46,1.0,1.0,23.54,1.6081499592502038,6.308
Adrenal Mass,R93.8,"An adrenal mass is a growth that is found on one of the adrenal glands, which are located on top of the kidneys. These masses are often discovered by accident during imaging tests for other reasons. Most adrenal masses are non-cancerous and do not cause any symptoms. However, some can produce hormones that might lead to symptoms like high blood pressure or weight gain. It's important to monitor the mass to ensure it doesn't grow or cause problems. If there are any concerns, further evaluation may be needed to decide if treatment is necessary.",D44.1,D44.1,False,False,72.46,0.0,0.0,12.540000000000006,0.014771048744460849,2.5080000000000013
Adrenal Cortical Adenoma,D35.00,"An adrenal cortical adenoma is a small, non-cancerous tumor found in the adrenal gland, which is located on top of the kidneys. These tumors are often discovered by accident during imaging tests for other reasons. Most adrenal adenomas do not cause any symptoms and do not require treatment. However, in some cases, they can produce hormones that might lead to symptoms like high blood pressure or weight gain. If you experience any unusual symptoms, it is important to discuss them with your healthcare provider to determine if further evaluation is needed.",D35.00,D35.00,True,True,61.46,1.0,1.0,23.54,1.6081499592502038,6.308
Adrenal Hyperfunction,E27.8,"Adrenal hyperfunction means that your adrenal glands, which are small glands located on top of your kidneys, are producing more hormones than usual. These hormones help control things like your blood pressure, metabolism, and stress response. When there's too much of these hormones, it can lead to symptoms like high blood pressure, weight gain, or feeling anxious. It's important to monitor these symptoms and discuss them with your healthcare provider, as they can help determine the best way to manage them and keep you feeling your best.",E27.8,E27.8,True,True,66.27,1.0,1.0,18.730000000000004,1.610136847440446,5.346000000000001
Adrenal Gland Tumor,D44.7,"An adrenal gland tumor is a growth that can be found on one of the adrenal glands, which are located on top of the kidneys. These tumors are often discovered by accident during imaging tests for other reasons. Most adrenal gland tumors are non-cancerous and do not cause symptoms. However, some can produce hormones that might lead to symptoms like high blood pressure, weight gain, or changes in mood. It's important to monitor these tumors to ensure they do not grow or cause health issues. If symptoms occur, further evaluation may be needed.",D35.00,D35.00,False,False,72.66,0.0,0.0,12.340000000000003,0.014992503748125934,2.468000000000001
Adrenal Cyst,E27.8,"An adrenal cyst is a fluid-filled sac that can form on the adrenal glands, which are located on top of your kidneys. These cysts are often found by accident during imaging tests for other reasons. Most adrenal cysts are benign, meaning they are not cancerous, and they usually do not cause any symptoms. Because they are generally harmless, they often do not need any treatment. However, if the cyst becomes large or causes symptoms like pain or hormonal changes, further evaluation may be necessary to decide if any action is needed.",E27.8,E27.8,True,True,61.46,1.0,1.0,23.54,1.6081499592502038,6.308
Bladder Diverticulum,N32.3,"A bladder diverticulum is a small pouch that forms in the bladder wall. It is often found by accident during imaging tests for other reasons. Most of the time, these pouches do not cause any problems and do not need treatment. However, if they become large or cause symptoms like frequent urinary tract infections or trouble emptying the bladder, it might be necessary to talk to a doctor about possible treatments. These could include monitoring the condition or, in some cases, surgery to remove the diverticulum.",N32.3,N32.3,True,True,62.48,1.0,1.0,22.520000000000003,1.6085034013605444,6.104000000000001
Bladder Mass,R93.4,"A bladder mass is a growth or lump found in the bladder, often discovered during imaging tests for other reasons. It's important to know that not all bladder masses are cancerous. Some can be benign, meaning they are not harmful. However, further evaluation is usually needed to determine the nature of the mass. This might involve additional tests like a cystoscopy, where a small camera is used to look inside the bladder, or a biopsy, where a small sample of the mass is taken for testing. Understanding the type of mass is crucial for deciding the next steps in care.",N28.89,R93.4,True,False,62.98,1.0,0.0,22.020000000000003,0.8086880973066899,5.204000000000001
