finding,ICD10_code,PFx,PFx_ICD10_code,_0_agent_icd10_codes,_0_icd10_matches,_0_pfx_icd10_matches,_0_flesch,accuracy_agent_icd10,accuracy_pfx_icd10,readability_difference,overall_score,log_overall_score
Adrenal Adenoma,D35.00,"An adrenal adenoma is a small, non-cancerous growth on the adrenal gland, which is located on top of your kidneys. These glands make important hormones that help control things like your blood pressure and how your body uses energy. Most of the time, adrenal adenomas don't cause any problems and are found by accident during tests for other issues. They usually don't need treatment unless they start causing symptoms or grow larger. If you have an adrenal adenoma, your doctor will keep an eye on it to make sure it stays harmless.",Z13.89,D35.00,True,False,69.72,1.0,0.0,15.280000000000001,0.8122850122850124,3.8560000000000008
Adrenal Hematoma,D35.00,"An adrenal hematoma is like a bruise on your adrenal gland, which is a small organ on top of your kidney. This happens when blood collects in the gland, usually because of an injury or sometimes without a clear reason. Most of the time, it doesn't cause any problems and might go away on its own. You might not even feel it. But if it gets bigger or causes pain, doctors might need to check it out more. It's important to keep an eye on it, just like you would with any bruise.",R93.8,D35.00,True,False,89.58,1.0,0.0,4.579999999999998,0.8358422939068101,-0.11599999999999966
Adrenal Hyperplasia,E27.0,"Adrenal hyperplasia means that the adrenal glands, which are small organs on top of your kidneys, are bigger than usual. These glands make important hormones that help control things like your blood pressure, how your body uses food, and how you respond to stress. When they are bigger, they might make too much or too little of these hormones. This can cause problems like feeling tired, gaining weight, or having high blood pressure. It's important to talk to your doctor about what this means for your health.",R63.4,E27.0,True,False,79.19,1.0,0.0,5.810000000000002,0.8293685756240823,1.9620000000000006
Adrenal Mass,D35.00,"An adrenal mass is a lump or growth that is found on the adrenal gland. The adrenal glands are small organs located on top of each kidney. They make important hormones that help control things like blood pressure and stress response. Sometimes, doctors find these masses by accident when doing tests for other reasons. Most adrenal masses are not cancerous and do not cause problems. However, some can affect hormone levels or be cancerous. It is important to monitor them to ensure they do not cause health issues.",R22.9,D44.1,False,False,75.61,0.0,0.0,9.39,0.019249278152069296,1.8780000000000001
Adrenal Cortical Adenoma,D35.00,"An adrenal cortical adenoma is a small, non-cancerous growth that forms on the adrenal gland, which is located on top of your kidneys. These glands help control important functions in your body, like blood pressure and stress response. Most of the time, these growths don't cause any problems and are found by accident during tests for other issues. They usually don't need treatment unless they start causing symptoms or grow larger. If you have any concerns or notice changes in your health, it's important to talk to your doctor.",Z13.89,D35.00,True,False,70.33,1.0,0.0,14.670000000000002,0.8127632418634334,3.734000000000001
Adrenal Hyperfunction,E27.8,"Adrenal hyperfunction means that your adrenal glands, which are small organs located on top of your kidneys, are making too many hormones. These hormones help control things like your blood pressure, how your body uses food, and your stress response. When there is too much of these hormones, it can cause problems like high blood pressure, weight gain, or feeling very tired. It's important to understand what might be causing this and how it can be managed to keep you healthy.",R68.89,E27.8,True,False,76.25,1.0,0.0,8.75,0.8205128205128206,2.55
Adrenal Gland Tumor,D35.00,"An adrenal gland tumor is a growth that happens in one of the adrenal glands, which are small organs located on top of your kidneys. These glands make important hormones that help control things like your blood pressure, metabolism, and stress response. Sometimes, these tumors are not cancerous and don't cause any problems, but other times they can make too many hormones or grow large enough to cause symptoms. If you have an adrenal gland tumor, your doctor will help you understand what it means for your health and what steps to take next.",R93.8,D35.00,True,False,73.0,1.0,0.0,12.0,0.8153846153846154,3.2
Adrenal Cyst,E27.8,"An adrenal cyst is a fluid-filled sac that forms on the adrenal gland, which is a small organ located on top of each kidney. These cysts are usually not harmful and often don't cause any symptoms. Most people don't even know they have one unless it's found during an imaging test for something else. In rare cases, if the cyst grows very large, it might cause discomfort or pain in the abdomen. Doctors usually monitor these cysts to make sure they don't grow or cause problems.",R93.8,D35.00,False,False,79.4,0.0,0.0,5.599999999999994,0.03030303030303033,1.119999999999999
Bladder Diverticulum,N32.3,"A bladder diverticulum is like a small pouch that forms in the wall of your bladder. Think of it as a little pocket that sticks out. This can happen when the bladder wall becomes weak. Sometimes, these pouches don't cause any problems, but they can make it harder for your bladder to empty completely. This might lead to infections or other issues. It's important to keep an eye on it and let your doctor know if you have any trouble, like pain or difficulty when you pee.",R39.15,N32.3,True,False,82.14,1.0,0.0,2.8599999999999994,0.8518134715025907,1.3719999999999999
Bladder Mass,R93.4,"A bladder mass is a lump or growth found in the bladder, which is the organ that holds urine. It can be caused by different things, like an infection, a non-cancerous growth, or even cancer. Sometimes, people with a bladder mass might have symptoms like blood in their urine, needing to pee more often, or pain when peeing. However, some people might not notice any symptoms at all. It's important to talk to a doctor to find out what is causing the mass and what can be done about it.",R31.9,R93.4,True,False,78.59,1.0,0.0,6.409999999999997,0.8269905533063429,2.0819999999999994
