finding,ICD10_code,PFx,PFx_ICD10_code,_0_agent_icd10_codes,_0_icd10_matches,_0_pfx_icd10_matches,_0_flesch,accuracy_agent_icd10,accuracy_pfx_icd10,readability_difference,overall_score,log_overall_score
Lymph Node Calcification,R22.1,"Lymph node calcification means that some of your lymph nodes, which are small glands in your body that help fight infections, have become hard because of calcium deposits. This can happen after an infection or inflammation. It's like when a cut heals and leaves a scar. The hardening doesn't usually cause problems, but it's good to know about it. Your body is still working fine, and these calcified lymph nodes are just a sign that your body has healed from something in the past.",Z86.19,R91.8,False,False,79.8,0.0,0.0,5.200000000000003,0.03225806451612902,1.0400000000000007
Granulomatous Lymphadenitis,I88.1,"Granulomatous lymphadenitis is a condition where your lymph nodes, which are small glands in your body that help fight infections, become swollen and inflamed. This happens because of tiny lumps called granulomas that form in the lymph nodes. These lumps are usually a sign that your body is trying to fight off an infection or inflammation. Sometimes, it can be caused by things like certain infections, autoimmune diseases, or even reactions to some medicines. It's important to understand that this condition is not cancer, but it does mean your body is responding to something.",R59.0,D86.89,False,False,60.85,0.0,0.0,24.15,0.007952286282306164,4.83
Lymph Node Enlargement,R59.0,"Lymph nodes are small, bean-shaped structures that are part of your body's immune system. They help fight infections by filtering harmful substances. Sometimes, these lymph nodes can become larger than usual. This can happen for many reasons, like when your body is fighting an infection, or if there's inflammation. It's like when a superhero gets bigger to fight off the bad guys. Most of the time, enlarged lymph nodes are not a big problem and can go back to normal on their own. However, it's important to keep an eye on them.",R59.9,R59.0,True,False,83.56,1.0,0.0,1.4399999999999977,0.8819672131147542,1.0879999999999996
Fibromatosis Colli,M62.89,"Fibromatosis colli is a condition that affects babies. It happens when a muscle in the neck becomes thicker than usual. This can make it hard for the baby to turn their head to one side. You might notice a small lump on the side of the neck. It's not dangerous, but it can be uncomfortable for the baby. Doctors usually suggest gentle exercises to help the baby move their head more easily. Sometimes, the condition gets better on its own as the baby grows. It's important to keep an eye on it and talk to your doctor if you have concerns.",M62.89,M62.89,True,True,75.61,1.0,1.0,9.39,1.6192492781520693,3.478
Muscle Atrophy in Neck,M62.50,"Muscle atrophy in the neck means that the muscles in your neck have become smaller or weaker than usual. This can happen for different reasons, like not using the muscles enough, an injury, or a health condition. When muscles shrink, they might not work as well, and you might notice your neck feels weaker or looks different. It's important to keep your neck muscles strong by doing gentle exercises and staying active. If you have any pain or trouble moving your neck, let your doctor know so they can help you feel better.",R29.890,M62.50,True,False,69.52,1.0,0.0,15.480000000000004,0.8121359223300971,3.896000000000001
Myositis Ossificans,M61.9,"Myositis ossificans is a condition where bone tissue forms inside your muscles after an injury. Imagine your muscles are like soft, stretchy rubber bands. Sometimes, when they get hurt, they try to heal by turning a bit hard, like a pencil. This happens because your body is trying to protect the area. It can make the muscle feel stiff or sore. It's important to rest and let your body heal. Over time, with care, the muscle can feel better and work normally again.",M61.0,M61.1,False,False,84.78,0.0,0.0,0.21999999999999886,0.16393442622950838,0.043999999999999775
Cervical Muscle Spasm,M62.838,"A cervical muscle spasm is when the muscles in your neck tighten up suddenly and you can't control it. This can make your neck feel stiff or sore, and it might be hard to move your head. Sometimes, it happens because you've been sitting in one position for too long, or maybe you slept in a funny way. Other times, it can be because of stress or if you've been using your neck muscles a lot, like when playing sports or working on the computer. It's like when you get a cramp in your leg, but it's in your neck instead.",R29.89,M62.838,True,False,76.35,1.0,0.0,8.650000000000006,0.8207253886010363,2.530000000000001
Torticollis,M43.6,"Torticollis is a condition where your neck muscles cause your head to twist or tilt to one side. It might feel like your neck is stuck or stiff, and it can be uncomfortable. Sometimes, it happens because of muscle problems, or it might be due to an injury. It's like when you sleep in a funny position and wake up with a stiff neck, but it doesn't go away as quickly. There are ways to help make it better, like gentle exercises or physical therapy, which can help your neck feel more comfortable.",R29.89,M43.6,True,False,77.98,1.0,0.0,7.019999999999996,0.8249376558603492,2.2039999999999993
Cervical Nerve Root Compression,M54.12,"Cervical nerve root compression means that the nerves in your neck are being squeezed or pinched. This can happen because of things like a slipped disc or bone spurs. When the nerves are compressed, it can cause pain, tingling, or numbness in your neck, shoulders, arms, or hands. You might also feel weakness in these areas. It's like when a garden hose gets pinched and the water can't flow through properly. In this case, the nerves can't send signals as they should, which can cause discomfort.",R20.2,M54.2,False,False,90.8,0.0,0.0,5.799999999999997,0.029411764705882366,-1.1599999999999995
Brachial Plexus Lesion,G54.0,"A brachial plexus lesion is when the group of nerves in your shoulder area, called the brachial plexus, gets damaged. These nerves help control your shoulder, arm, and hand movements. If they are hurt, you might feel weakness, numbness, or even pain in your arm or hand. Sometimes, it can be hard to move your arm or hand like you usually do. This can happen because of an injury, like a fall or accident, or sometimes from other health issues. It's important to be careful with your arm and let your doctor know how you're feeling.",R20.2,G54.0,True,False,80.62,1.0,0.0,4.3799999999999955,0.8371747211895911,1.6759999999999993
