finding,ICD10_code,PFx,PFx_ICD10_code,_0_agent_icd10_codes,_0_icd10_matches,_0_pfx_icd10_matches,_0_flesch,accuracy_agent_icd10,accuracy_pfx_icd10,readability_difference,overall_score,log_overall_score
Adrenal Adenoma,D35.00,"An adrenal adenoma is like a tiny lump on one of your adrenal glands. These glands sit on top of your kidneys and help control things like energy and stress. The adenoma, or lump, is usually harmless, like a small spot on your skin. Most of the time, people don't even know it's there because it doesn't cause any issues. Doctors often find it by surprise when looking for something else. These lumps rarely need any treatment, but it's good for your doctor to check on it from time to time.",D35.00,D35.00,True,True,89.89,1.0,1.0,4.890000000000001,1.6339558573853992,0.6219999999999999
Adrenal Hematoma,E27.8,"An adrenal hematoma is when there is a small amount of blood in the adrenal glands, which sit on top of your kidneys. These glands make hormones that help your body manage stress and control blood pressure. An adrenal hematoma can happen if you have an injury or after surgery. Usually, it does not cause any pain or problems and can heal on its own, like how a bruise on the skin fades over time. Doctors may just want to check it sometimes to make sure it gets better.",E27.8,D35.00,False,True,87.25,0.0,1.0,2.25,0.8615384615384616,0.35000000000000003
Adrenal Hyperplasia,E27.0,"Adrenal Hyperplasia is a problem where your adrenal glands, which are small organs on top of your kidneys, get bigger than usual. This happens because they don't have enough stuff called enzymes to make important chemicals like cortisol. Think of it like a factory that doesn’t have enough workers, making it bigger and busier. Sometimes, this can cause changes in your body. It might affect how you feel or grow. You might not notice it, but doctors can see it during tests. They will watch it closely to keep you healthy.",E27.0,E25.0,False,True,83.66,0.0,1.0,1.3400000000000034,0.8854700854700854,1.0680000000000007
Adrenal Mass,R93.8,"An adrenal mass is something found on a scan of your body, like an x-ray or MRI. It's discovered by accident sometimes. The adrenal glands are small and sit on top of the kidneys. They help make important chemicals for your body. If a mass is found on one of these glands, it's like finding an extra object that doesn't belong there. It might not be a problem, but it's good to know more about it. Imagine finding something in your closet you didn't know was there. A doctor checks if it needs any more attention.",R93.8,E27.9,False,True,84.68,0.0,1.0,0.3199999999999932,0.9515151515151523,0.8639999999999987
Adrenal Cortical Adenoma,D35.00,"An adrenal cortical adenoma is a small lump on your adrenal gland. Your adrenal glands sit on top of your kidneys and help control hormones. Think of this lump like a harmless, small bump. It's usually not something to worry about and it often doesn’t cause any problems. People don't usually feel sick or notice it's there. Doctors mostly find it by accident when you’re having tests for something else. It’s similar to finding a harmless mole on your skin. It's good to let a doctor know about it, but most of the time, it's nothing serious.",D35.00,D35.00,True,True,84.57,1.0,1.0,0.4300000000000068,1.7398601398601392,1.6860000000000015
Adrenal Hyperfunction,E27.8,"Your adrenal glands are like small hats on top of your kidneys, and they help control important things like energy and stress levels. In adrenal hyperfunction, these glands make too much of some hormones. Think of it like when the volume on your radio is turned up too high. It can make your body feel all mixed up. This could cause tiredness, weight gain, or high blood pressure. Knowing about this is important so you can understand how it affects your body and what you might need to do to feel better.",E27.8,E27.8,True,True,89.79,1.0,1.0,4.790000000000006,1.6345423143350606,0.6419999999999988
Adrenal Gland Tumor,D44.7,"An adrenal gland tumor is a growth on the adrenal gland, which sits on top of your kidneys. These glands make important hormones. These hormones help control your blood sugar, how you handle stress, and your blood pressure. Some tumors are like unexpected guests. Sometimes they are okay, but other times we need to watch them closely. This tumor's behavior is uncertain, meaning we’re not sure if it’s harmless yet or not. Doctors might do tests or check-ups to keep an eye on it and make sure your body is healthy.",D44.7,D44.1,False,True,83.66,0.0,1.0,1.3400000000000034,0.8854700854700854,1.0680000000000007
Adrenal Cyst,E27.8,"An adrenal cyst is a small, harmless bubble on your adrenal glands. These glands are like little hats that sit on top of your kidneys. They help with things like controlling energy and stress. Sometimes, a small bubble filled with fluid, known as a cyst, can appear on them. Most of the time, these bubbles don't cause any problems or pain. They’re kind of like tiny bags of water that don’t really change anything in your body. Many people don't even know they have one. It’s usually nothing to worry about.",E27.8,E27.8,True,True,85.28,1.0,1.0,0.28000000000000114,1.75625,1.5439999999999998
Bladder Diverticulum,N32.3,"A bladder diverticulum is like a small pouch or pocket that sticks out from the bladder. The bladder is where your body stores urine until you're ready to go to the bathroom. Sometimes, the bladder walls are not very strong, and a little pouch forms. This can be something you are born with or it can happen if the bladder works hard to push out urine. Usually, these pouches don't bother you, but if they do cause problems, a doctor might need to check them.",N32.3,N32.3,True,True,79.6,1.0,1.0,5.400000000000006,1.63125,2.6800000000000015
Bladder Mass,R93.4,"A bladder mass is a lump or bump inside the bladder. The bladder is where pee is stored before leaving the body. This lump could be a cyst, which is like a small bubble, or something called a tumor. Not all lumps are bad or cancer. Doctors can use tests like ultrasounds to get a better look at the mass. They might also look inside with a thin camera called a cystoscope. Depending on the test results, doctors will decide what to do next, like checking it regularly or asking a specialist for advice.",R93.4,N32.89,False,True,83.25,0.0,1.0,1.75,0.8727272727272728,1.1500000000000001
