finding,ICD10_code,PFx,PFx_ICD10_code,_0_agent_icd10_codes,_0_icd10_matches,_0_pfx_icd10_matches,_0_flesch,accuracy_agent_icd10,accuracy_pfx_icd10,readability_difference,overall_score,log_overall_score
Cervical Kyphosis,M40.202,"Cervical kyphosis is a condition where the neck has an abnormal forward curve. This can sometimes be found by chance during an X-ray or MRI. Many people with cervical kyphosis do not have any symptoms, but some might experience neck pain or stiffness. It's important to maintain good posture and engage in exercises that strengthen the neck muscles. If you notice any discomfort or changes in your neck, it might be helpful to talk to a healthcare provider who can offer advice on managing symptoms and maintaining neck health.",M40.2,M40.30,False,False,61.87,0.0,0.0,23.130000000000003,0.008288437629506836,4.626
Cervical Kyphosis,M40.202,"Cervical kyphosis is a condition where the neck has an abnormal forward curve. This can sometimes be found by chance when you have an X-ray or MRI for another reason. Many people with cervical kyphosis do not have any symptoms, but some might experience neck pain or stiffness. It's important to maintain good posture and do exercises that strengthen the neck muscles. If you notice any changes in your symptoms or if you have concerns, it's a good idea to talk to a healthcare provider who can give you more information and advice.",M40.2,M40.30,False,False,69.52,0.0,0.0,15.480000000000004,0.012135922330097085,3.096000000000001
Cervical Kyphosis,M40.202,"Cervical kyphosis is a condition where the neck has an abnormal forward curve. This can sometimes be found by accident when getting an X-ray or MRI for another reason. Many people with cervical kyphosis do not have any symptoms, but some might experience neck pain or stiffness. It's important to maintain good posture and do exercises that strengthen the neck muscles. If you notice any new symptoms like pain or difficulty moving your neck, it's a good idea to talk to a healthcare provider to see if any treatment is needed.",M40.2,M40.30,False,False,61.46,0.0,0.0,23.54,0.00814995925020375,4.708
Cervical Kyphosis,M40.202,"Cervical kyphosis is a condition where the neck has an abnormal forward curve. This can sometimes be found by accident when looking at X-rays or MRIs for other reasons. Many people with cervical kyphosis do not have any symptoms, but some might experience neck pain or stiffness. It's important to maintain good posture and neck exercises can help keep the neck flexible and strong. If you notice any new symptoms like pain or difficulty moving your neck, it's a good idea to talk to a healthcare provider.",M40.2,M40.30,False,False,70.73,0.0,0.0,14.269999999999996,0.013097576948264576,2.853999999999999
Cervical Kyphosis,M40.202,"Cervical kyphosis is a condition where the neck has an abnormal forward curve. This can sometimes be found by chance during an X-ray or MRI. Many people with cervical kyphosis do not have any symptoms, but some might experience neck pain or stiffness. It's important to maintain good posture and engage in exercises that strengthen the neck muscles. If you notice any discomfort or changes in your neck, it might be helpful to talk to a healthcare provider who can offer advice on managing symptoms and maintaining neck health.",M40.2,M40.30,False,False,61.87,0.0,0.0,23.130000000000003,0.008288437629506836,4.626
Cervical Spinal Stenosis,M48.02,"Cervical spinal stenosis is a condition where the spaces in the neck part of the spine become narrow. This can sometimes put pressure on the spinal cord or nerves. Many people with this condition do not have symptoms, but some might experience neck pain, numbness, or weakness in the arms or legs. It's important to be aware of any changes in how you feel, as this can help in managing the condition. If symptoms do occur, there are treatments available that can help relieve discomfort and improve mobility.",M48.02,M48.02,True,True,70.53,1.0,1.0,14.469999999999999,1.612928248222366,4.494
Cervical Spinal Stenosis,M48.02,"Cervical spinal stenosis is a condition where the spaces in the neck part of the spine become narrow. This can sometimes put pressure on the spinal cord or nerves. Many people with this condition do not have symptoms, but some might experience neck pain, numbness, or weakness in the arms or legs. It's important to be aware of any changes in how you feel, as this can help in managing the condition. If symptoms do occur, there are treatments available that can help relieve discomfort and improve mobility.",M48.02,M48.02,True,True,70.53,1.0,1.0,14.469999999999999,1.612928248222366,4.494
Cervical Spinal Stenosis,M48.02,"Cervical spinal stenosis is a condition where the spaces in the neck part of the spine become narrow. This can sometimes put pressure on the spinal cord or nerves. Many people with this condition do not have symptoms, but some might experience neck pain, numbness, or weakness in the arms or legs. It's important to be aware of any changes in how you feel, as this can help in managing the condition. If symptoms do occur, there are treatments available that can help relieve discomfort and improve mobility.",M48.02,M48.02,True,True,70.53,1.0,1.0,14.469999999999999,1.612928248222366,4.494
Cervical Spinal Stenosis,M48.02,"Cervical spinal stenosis is a condition where the spaces in the neck part of the spine become narrow. This can sometimes put pressure on the spinal cord or nerves. Many people with this condition do not have symptoms, but some might experience neck pain, numbness, or weakness in the arms or legs. It's important to be aware of any changes in how you feel, as this can help in managing the condition. If symptoms do occur, there are treatments available that can help relieve discomfort and improve mobility.",M48.02,M48.02,True,True,70.53,1.0,1.0,14.469999999999999,1.612928248222366,4.494
Cervical Spinal Stenosis,M48.02,"Cervical spinal stenosis is a condition where the spaces in the neck part of the spine become narrow. This can sometimes put pressure on the spinal cord or nerves. Many people with this condition do not have symptoms, but some might experience neck pain, numbness, or weakness in the arms or legs. It's important to be aware of any changes in how you feel, as this can help in managing the condition. If symptoms do occur, there are treatments available that can help relieve discomfort and improve mobility.",M48.02,M48.02,True,True,70.53,1.0,1.0,14.469999999999999,1.612928248222366,4.494
Ossification of the Posterior Longitudinal Ligament,M48.8X2,"Ossification of the Posterior Longitudinal Ligament (OPLL) is a condition where a ligament in the spine becomes hardened or turns into bone. This is often found by accident when imaging tests are done for other reasons. Most people with OPLL do not have any symptoms and do not need treatment. However, if it starts to press on the spinal cord or nerves, it might cause symptoms like pain, numbness, or weakness. In such cases, a doctor might suggest ways to manage these symptoms, which could include physical therapy or other treatments.",M48.8,M48.8,False,False,61.46,0.0,0.0,23.54,0.00814995925020375,4.708
Ossification of the Posterior Longitudinal Ligament,M48.8X2,"Ossification of the Posterior Longitudinal Ligament (OPLL) is a condition where a ligament in the spine becomes hardened or turns into bone. This is often found by accident during imaging tests for other reasons. Most people with OPLL do not have any symptoms and do not need treatment. However, if it starts to press on the spinal cord or nerves, it might cause symptoms like pain, numbness, or weakness. In such cases, a doctor might suggest ways to manage these symptoms, which could include physical therapy or other treatments.",M48.8,M48.8,False,False,61.87,0.0,0.0,23.130000000000003,0.008288437629506836,4.626
Ossification of the Posterior Longitudinal Ligament,M48.8X2,"Ossification of the Posterior Longitudinal Ligament (OPLL) is a condition where a ligament in your spine becomes thicker and harder due to extra bone formation. This is often found by accident when you have an X-ray or MRI for another reason. Most people with OPLL do not have any symptoms, but some might feel stiffness or pain in their neck or back. In rare cases, it can press on the spinal cord and cause numbness or weakness. If you notice any new symptoms, it's important to let your doctor know.",M48.8,M48.8,False,False,70.13,0.0,0.0,14.870000000000005,0.012602394454946438,2.974000000000001
Ossification of the Posterior Longitudinal Ligament,M48.8X2,"Ossification of the Posterior Longitudinal Ligament (OPLL) is a condition where a ligament in the spine becomes hardened or turns into bone. This is often found by accident when imaging tests are done for other reasons. Most people with OPLL do not have any symptoms and do not need treatment. However, if the hardening of the ligament presses on the spinal cord or nerves, it might cause symptoms like pain, numbness, or weakness. If you experience any of these symptoms, it is important to talk to a healthcare provider to discuss what steps to take next.",M48.8,M48.8,False,False,60.45,0.0,0.0,24.549999999999997,0.00782778864970646,4.91
Ossification of the Posterior Longitudinal Ligament,M48.8X2,"Ossification of the Posterior Longitudinal Ligament (OPLL) is a condition where a ligament in the spine becomes hardened or turns into bone. This is often found by accident during imaging tests for other reasons. Most people with OPLL do not have any symptoms and do not need treatment. However, if the hardening presses on the spinal cord or nerves, it might cause symptoms like pain, numbness, or weakness. In such cases, a doctor might suggest treatments to help manage these symptoms and improve comfort.",M48.8,M48.8,False,False,62.88,0.0,0.0,22.119999999999997,0.00865051903114187,4.4239999999999995
