Body Part,Organ,Incidental_Finding,ICD-10 Code,ICD-10 Code Description
Abdomen,Adrenal Glands,Adrenal Gland Tumor,D44.7,"Neoplasm of uncertain behavior of endocrine glands, other specified endocrine glands."
Abdomen,Bladder,Bladder Cancer,C67.9,"Malignant neoplasm of bladder, unspecified"
Abdomen,Bladder,Bladder Diverticula,N32.3,Diverticulum of bladder
Abdomen,Bladder,Bladder Calculus,N21.0,Calculus in bladder
Abdomen,Bladder,Bladder Diverticulum,N32.3,Diverticulum of bladder
Abdomen,Bladder,Bladder Mass,R93.4,Abnormal findings on diagnostic imaging of urinary organs
Abdomen,Bladder,Bladder Wall Thickening,R93.4,Abnormal findings on diagnostic imaging of urinary organs
Abdomen,Gallbladder,Gallbladder Wall Thickening,K81.9,"Cholecystitis, unspecified"
Abdomen,Gallbladder,Gallbladder Tumor,D37.6,Neoplasm of uncertain behavior of other and unspecified digestive organs
Abdomen,Gallbladder,Gallbladder Agenesis,Q44.0,Congenital absence of gallbladder
Abdomen,Gallbladder,Cholelithiasis,K80.20,"Calculus of gallbladder without cholecystitis, without obstruction"
Abdomen,Gallbladder,Gallstones ,K80.20,"Calculus of gallbladder without cholecystitis, without obstruction"
Abdomen,Intestines,Appendicitis,K35.80,Unspecified acute appendicitis
Abdomen,Intestines,Bowel Wall Thickening,R93.3,Abnormal findings on diagnostic imaging of other parts of digestive tract
Abdomen,Kidneys,Angiomyolipoma,D30.0,Benign neoplasm of kidney
Abdomen,Gallbladder,Adenomyomatosis,K82.8,Other specified diseases of gallbladder
Abdomen,Liver,Liver Steatosis,K76.0,"Fatty (change of) liver, not elsewhere classified"
Abdomen,Liver,Liver Cirrhosis,K74.60,Unspecified cirrhosis of liver
Abdomen,Intestines,Crohn's Disease,K50.90,"Crohn's disease, unspecified, without complications"
Abdomen,Liver,Hepatic Hemangioma,D18.09,Hemangioma of other sites
Abdomen,Liver,Hepatomegaly,R16.0,"Hepatomegaly, not elsewhere classified"
Abdomen,Kidneys,Medullary Sponge Kidney,Q61.5,Medullary cystic kidney
Abdomen,Kidneys,Polycystic Kidney Disease,Q61.3,"Polycystic kidney, unspecified"
Abdomen,Kidneys,Renal Cortical Thinning,N26.1,Atrophy of kidney
Abdomen,Retroperitoneum,Retroperitoneal Fibromatosis,M72.9,"Fibromatosis, unspecified"
Abdomen,Retroperitoneum,Retroperitoneal Lymphadenopathy,R59.0,Localized enlarged lymph nodes
Abdomen,Kidneys,Renal Cyst with Septations,N28.1,"Cyst of kidney, acquired"
Abdomen,Intestines,Mesenteric Cyst,R93.3,Abnormal findings on diagnostic imaging of other abdominal regions
Abdomen,Intestines,Intestinal Stricture,K56.60,Unspecified intestinal obstruction
Abdomen,Kidneys,Simple Renal Cyst,N28.1,"Cyst of kidney, acquired"
Abdomen,Liver,Hepatic Adenoma,D13.4,Benign neoplasm of liver
Abdomen,Spleen,Splenic Cyst,D73.4,Cyst of spleen
Abdomen,Spleen,Splenomegaly,R16.1,"Splenomegaly, not elsewhere classified"
Abdomen,Spleen,Splenic Calcification,D73.5,Infarction of spleen
Abdomen,Stomach,Gastric Ulcer,K25.9,"Gastric ulcer, unspecified as acute or chronic, without hemorrhage or perforation"
Abdomen,Stomach,Gastric Wall Thickening,R93.3,Abnormal findings on diagnostic imaging of other abdominal regions
