finding,ICD10_code,PFx,PFx_ICD10_code,_0_agent_icd10_codes,_0_icd10_matches,_0_pfx_icd10_matches,_0_flesch,accuracy_agent_icd10,accuracy_pfx_icd10,readability_difference,overall_score,log_overall_score
Adrenal Adenoma,D35.00,"An adrenal adenoma is a small, non-cancerous tumor found on the adrenal gland, which is located on top of the kidneys. These tumors are often discovered by accident during imaging tests for other reasons. Most adrenal adenomas do not cause any symptoms and do not require treatment. However, some can produce hormones that might lead to symptoms like high blood pressure or weight gain. If you experience any unusual symptoms, it's important to talk to your doctor, who can help determine if any further tests or treatments are needed.",D35.00,D35.00,True,True,61.87,1.0,1.0,23.130000000000003,1.608288437629507,6.226000000000001
Adrenal Adenoma,D35.00,"An adrenal adenoma is a small, non-cancerous tumor found on the adrenal gland, which is located on top of the kidneys. These tumors are often discovered by accident during imaging tests for other reasons. Most adrenal adenomas do not cause any symptoms and do not require treatment. They are usually harmless and do not affect your health. However, in some cases, they can produce hormones that might lead to symptoms like high blood pressure or weight gain. If you experience any unusual symptoms, it is important to discuss them with your healthcare provider.",D35.00,D35.00,True,True,64.2,1.0,1.0,20.8,1.6091743119266055,5.76
Adrenal Adenoma,D35.00,"An adrenal adenoma is a small, non-cancerous tumor found on the adrenal gland, which is located on top of the kidneys. These tumors are often discovered by accident during imaging tests for other conditions. Most adrenal adenomas do not cause any symptoms and do not require treatment. They are usually harmless and do not affect your health. However, in some cases, they can produce hormones that might lead to symptoms like high blood pressure or weight gain. If you experience any unusual symptoms, it is important to discuss them with your healthcare provider.",D35.00,D35.00,True,True,64.2,1.0,1.0,20.8,1.6091743119266055,5.76
Adrenal Adenoma,D35.00,"An adrenal adenoma is a small, non-cancerous tumor found on the adrenal gland, which is located on top of the kidneys. These tumors are often discovered by accident during imaging tests for other reasons. Most adrenal adenomas do not cause any symptoms and do not require treatment. They are usually harmless and do not affect your health. However, in some cases, they can produce hormones that might lead to symptoms like high blood pressure or weight gain. If you experience any unusual symptoms, it is important to discuss them with your healthcare provider.",D35.00,D35.00,True,True,64.2,1.0,1.0,20.8,1.6091743119266055,5.76
Adrenal Adenoma,D35.00,"An adrenal adenoma is a small, non-cancerous tumor found on the adrenal gland, which is located on top of the kidneys. These tumors are often discovered by accident during imaging tests for other reasons. Most adrenal adenomas do not cause any symptoms and do not require treatment. However, some can produce hormones that might lead to symptoms like high blood pressure or weight gain. If you experience any unusual symptoms, it's important to let your doctor know. Regular monitoring may be recommended to ensure the adenoma remains stable.",D35.00,D35.00,True,True,56.55,1.0,1.0,28.450000000000003,1.60679117147708,7.290000000000001
Adrenal Hematoma,E27.8,"An adrenal hematoma is a collection of blood in the adrenal gland, often found by accident during imaging tests for other reasons. This condition is usually harmless and doesn't cause symptoms. Most of the time, it doesn't need any treatment and will resolve on its own. However, it's important to be aware of any new symptoms like pain in the back or abdomen, as these could indicate changes that might need attention. If you notice any unusual symptoms, it's a good idea to let your healthcare provider know.",D35.00,D35.00,False,False,70.53,0.0,0.0,14.47,0.0129282482223658,2.894
Adrenal Hematoma,E27.8,"An adrenal hematoma is a collection of blood in the adrenal gland, often found by accident during imaging tests for other reasons. This condition is usually harmless and doesn't cause any symptoms. Most of the time, it doesn't need any treatment and will resolve on its own. However, if you experience symptoms like pain in your side or changes in blood pressure, it's important to let your doctor know. They might want to keep an eye on it to make sure it doesn't cause any problems.",D35.00,D35.00,False,False,70.94,0.0,0.0,14.060000000000002,0.0132802124833997,2.8120000000000007
Adrenal Hematoma,E27.8,"An adrenal hematoma is a collection of blood in the adrenal gland, often found by accident during imaging tests for other reasons. This condition is usually harmless and does not cause symptoms. Most adrenal hematomas resolve on their own without treatment. It's important to know that these are typically not cancerous and do not affect the function of the adrenal glands. However, if you experience symptoms like abdominal pain or changes in blood pressure, it might be related to the hematoma, and further evaluation could be necessary.",D35.00,D35.00,False,False,62.27,0.0,0.0,22.73,0.0084281500210703,4.545999999999999
Adrenal Hematoma,E27.8,"An adrenal hematoma is a collection of blood in the adrenal gland, often found by accident during imaging tests for other reasons. This condition is usually harmless and does not cause symptoms. Most adrenal hematomas resolve on their own without treatment. It's important to know that these are typically not cancerous and do not affect the function of the adrenal glands. However, if you experience symptoms like abdominal pain or changes in blood pressure, it might be related to the hematoma, and further evaluation could be necessary.",D35.00,D35.00,False,False,62.27,0.0,0.0,22.73,0.0084281500210703,4.545999999999999
Adrenal Hematoma,E27.8,"An adrenal hematoma is a collection of blood in the adrenal gland, often found by accident during imaging tests for other reasons. This condition is usually harmless and doesn't cause symptoms. Most of the time, it doesn't need any treatment. The adrenal glands are small organs on top of your kidneys that help control hormones. If the hematoma is small and not causing any problems, it is typically left alone. However, if you notice any unusual symptoms like pain or changes in blood pressure, it's important to let your doctor know.",D35.00,D35.00,False,False,72.97,0.0,0.0,12.03,0.0153491941673062,2.4060000000000006
