finding,ICD10_code,PFx,Word Count,PFx_ICD10_code,_0_agent_icd10_codes,_0_icd10_matches,_0_pfx_icd10_matches,_0_flesch,accuracy_agent_icd10,accuracy_pfx_icd10,accuracy,readability_difference,overall_score,GT_Trimmed,Agent_Trimmed,relaxed_accuracy_agent_icd10,pfx_icd10_trimmed,relaxed_accuracy_pfx_icd10,relaxed_accuracy,relaxed_overall_score
Adrenal Adenoma,D35.00,"An adrenal adenoma is a small, non-cancerous tumor found on the adrenal gland, which is located on top of the kidneys. These tumors are often discovered by accident during imaging tests for other reasons. Most adrenal adenomas do not cause any symptoms and do not require treatment. However, some can produce hormones that might lead to symptoms like high blood pressure or weight gain. If you experience any unusual symptoms, it's important to talk to your doctor, who can help determine if any further tests or treatments are needed.",89,D35.00,D35.00,TRUE,TRUE,61.87,1,1,1,23.13,1.608288438,D35,D35,1,D35,1,1,1.676678636
Adrenal Adenoma,D35.00,"An adrenal adenoma is a small, non-cancerous tumor found on the adrenal gland, which is located on top of the kidneys. These tumors are often discovered by accident during imaging tests for other reasons. Most adrenal adenomas do not cause any symptoms and do not require treatment. They are usually harmless and do not affect your health. However, in some cases, they can produce hormones that might lead to symptoms like high blood pressure or weight gain. If you experience any unusual symptoms, it is important to discuss them with your healthcare provider.",93,D35.00,D35.00,TRUE,TRUE,64.2,1,1,1,20.8,1.609174312,D35,D35,1,D35,1,1,1.676652602
Adrenal Adenoma,D35.00,"An adrenal adenoma is a small, non-cancerous tumor found on the adrenal gland, which is located on top of the kidneys. These tumors are often discovered by accident during imaging tests for other conditions. Most adrenal adenomas do not cause any symptoms and do not require treatment. They are usually harmless and do not affect your health. However, in some cases, they can produce hormones that might lead to symptoms like high blood pressure or weight gain. If you experience any unusual symptoms, it is important to discuss them with your healthcare provider.",93,D35.00,D35.00,TRUE,TRUE,64.2,1,1,1,20.8,1.609174312,D35,D35,1,D35,1,1,1.676652602
Adrenal Adenoma,D35.00,"An adrenal adenoma is a small, non-cancerous tumor found on the adrenal gland, which is located on top of the kidneys. These tumors are often discovered by accident during imaging tests for other reasons. Most adrenal adenomas do not cause any symptoms and do not require treatment. They are usually harmless and do not affect your health. However, in some cases, they can produce hormones that might lead to symptoms like high blood pressure or weight gain. If you experience any unusual symptoms, it is important to discuss them with your healthcare provider.",93,D35.00,D35.00,TRUE,TRUE,64.2,1,1,1,20.8,1.609174312,D35,D35,1,D35,1,1,1.676652602
Adrenal Adenoma,D35.00,"An adrenal adenoma is a small, non-cancerous tumor found on the adrenal gland, which is located on top of the kidneys. These tumors are often discovered by accident during imaging tests for other reasons. Most adrenal adenomas do not cause any symptoms and do not require treatment. However, some can produce hormones that might lead to symptoms like high blood pressure or weight gain. If you experience any unusual symptoms, it's important to let your doctor know. Regular monitoring may be recommended to ensure the adenoma remains stable.",88,D35.00,D35.00,TRUE,TRUE,56.55,1,1,1,28.45,1.606791171,D35,D35,1,D35,1,1,1.676722678
Adrenal Hematoma,E27.8,"An adrenal hematoma is a collection of blood in the adrenal gland, often found by accident during imaging tests for other reasons. This condition is usually harmless and doesn't cause symptoms. Most of the time, it doesn't need any treatment and will resolve on its own. However, it's important to be aware of any new symptoms like pain in the back or abdomen, as these could indicate changes that might need attention. If you notice any unusual symptoms, it's a good idea to let your healthcare provider know.",88,D35.00,D35.00,FALSE,FALSE,70.53,0,0,0,14.47,0.01292824822,E27,D35,0,D35,0,0,0.1974473516
Adrenal Hematoma,E27.8,"An adrenal hematoma is a collection of blood in the adrenal gland, often found by accident during imaging tests for other reasons. This condition is usually harmless and doesn't cause any symptoms. Most of the time, it doesn't need any treatment and will resolve on its own. However, if you experience symptoms like pain in your side or changes in blood pressure, it's important to let your doctor know. They might want to keep an eye on it to make sure it doesn't cause any problems.",86,D35.00,D35.00,FALSE,FALSE,70.94,0,0,0,14.06,0.01328021248,E27,D35,0,D35,0,0,0.197378768
Adrenal Hematoma,E27.8,"An adrenal hematoma is a collection of blood in the adrenal gland, often found by accident during imaging tests for other reasons. This condition is usually harmless and does not cause symptoms. Most adrenal hematomas resolve on their own without treatment. It's important to know that these are typically not cancerous and do not affect the function of the adrenal glands. However, if you experience symptoms like abdominal pain or changes in blood pressure, it might be related to the hematoma, and further evaluation could be necessary.",87,D35.00,D35.00,FALSE,FALSE,62.27,0,0,0,22.73,0.008428150021,E27,D35,0,D35,0,0,0.198328458
Adrenal Hematoma,E27.8,"An adrenal hematoma is a collection of blood in the adrenal gland, often found by accident during imaging tests for other reasons. This condition is usually harmless and does not cause symptoms. Most adrenal hematomas resolve on their own without treatment. It's important to know that these are typically not cancerous and do not affect the function of the adrenal glands. However, if you experience symptoms like abdominal pain or changes in blood pressure, it might be related to the hematoma, and further evaluation could be necessary.",87,D35.00,D35.00,FALSE,FALSE,62.27,0,0,0,22.73,0.008428150021,E27,D35,0,D35,0,0,0.198328458
Adrenal Hematoma,E27.8,"An adrenal hematoma is a collection of blood in the adrenal gland, often found by accident during imaging tests for other reasons. This condition is usually harmless and doesn't cause symptoms. Most of the time, it doesn't need any treatment. The adrenal glands are small organs on top of your kidneys that help control hormones. If the hematoma is small and not causing any problems, it is typically left alone. However, if you notice any unusual symptoms like pain or changes in blood pressure, it's important to let your doctor know.",91,D35.00,D35.00,FALSE,FALSE,72.97,0,0,0,12.03,0.01534919417,E27,D35,0,D35,0,0,0.1969765684
Adrenal Hyperplasia,E27.0,"Adrenal hyperplasia is a condition where the adrenal glands, which sit on top of your kidneys, become larger than normal. This is often found by chance during imaging tests for other reasons. Most of the time, adrenal hyperplasia does not cause any symptoms and does not need treatment. However, in some cases, it can affect hormone levels in the body, which might lead to symptoms like fatigue, weight changes, or high blood pressure. If you notice any unusual symptoms, it's important to talk to your healthcare provider for further evaluation.",90,E27.0,E27.0,TRUE,TRUE,70.13,1,1,1,14.87,1.612602394,E27,E27,1,E27,1,1,1.676552024
Adrenal Hyperplasia,E27.0,"Adrenal hyperplasia is a condition where the adrenal glands, located on top of your kidneys, become larger than normal. This is often found by chance during imaging tests for other reasons. Most of the time, adrenal hyperplasia does not cause any symptoms and does not need treatment. However, in some cases, it can affect hormone levels in your body, which might require further evaluation. If you experience symptoms like fatigue, weight changes, or high blood pressure, it might be related to this condition, and you should discuss it with your healthcare provider.",92,E27.0,E27.0,TRUE,TRUE,61.26,1,1,1,23.74,1.608084074,E27,E27,1,E27,1,1,1.676684644
Adrenal Hyperplasia,E27.0,"Adrenal hyperplasia is a condition where the adrenal glands, which sit on top of your kidneys, become larger than normal. This is often found by chance during imaging tests for other reasons. Most of the time, adrenal hyperplasia does not cause any symptoms and does not need treatment. However, in some cases, it can lead to hormone imbalances that might require attention. It's important to understand that this condition is usually not serious, but if you notice unusual symptoms like fatigue or changes in blood pressure, it might be related to hormone levels.",93,E27.0,E27.0,TRUE,TRUE,61.06,1,1,1,23.94,1.608019246,E27,E27,1,E27,1,1,1.676686551
Adrenal Hyperplasia,E27.0,"Adrenal hyperplasia is a condition where the adrenal glands, located on top of your kidneys, become larger than normal. This is often found by chance during imaging tests for other reasons. The adrenal glands make important hormones that help control many functions in your body. When they are larger, it might mean they are making too much or too little of these hormones. Most of the time, people with adrenal hyperplasia do not have any symptoms and do not need treatment. However, if there are symptoms like fatigue, weight changes, or blood pressure issues, further evaluation might be needed.",99,E27.0,E27.0,TRUE,TRUE,71.65,1,1,1,13.35,1.613937282,E27,E27,1,E27,1,1,1.67651293
Adrenal Hyperplasia,E27.0,"Adrenal hyperplasia is a condition where the adrenal glands, which sit on top of your kidneys, become larger than normal. This is often found by chance during imaging tests for other reasons. Most of the time, adrenal hyperplasia doesn't cause any symptoms and doesn't need treatment. However, in some cases, it can affect hormone levels in your body, which might lead to symptoms like fatigue, weight changes, or high blood pressure. If you notice any unusual symptoms, it's important to talk to your healthcare provider for further advice.",88,E27.0,E27.0,TRUE,TRUE,70.53,1,1,1,14.47,1.612928248,E27,E27,1,E27,1,1,1.676542477
Adrenal Mass,R93.8,"An adrenal mass is a growth that is found on one of the adrenal glands, which are located on top of the kidneys. These masses are often discovered by accident during imaging tests for other reasons. Most adrenal masses are non-cancerous and do not cause any symptoms. However, some can produce hormones that might lead to symptoms like high blood pressure or weight changes. It's important to monitor the mass to ensure it doesn't grow or cause problems. If there are any concerns, further tests might be needed to understand the nature of the mass.",95,D44.1,D44.1,FALSE,FALSE,72.36,0,0,0,12.64,0.0146627566,R93,D44,0,D44,0,0,0.1971098266
Adrenal Mass,R93.8,"An adrenal mass is a growth that is found on one of the adrenal glands, which are located on top of the kidneys. These masses are often discovered by accident during imaging tests for other reasons. Most adrenal masses are non-cancerous and do not cause any symptoms. However, some can produce hormones that might lead to symptoms like high blood pressure or weight changes. It's important to monitor the mass to ensure it doesn't grow or cause problems. If there are any concerns, further tests might be needed to understand the nature of the mass.",95,D44.1,D44.1,FALSE,FALSE,72.36,0,0,0,12.64,0.0146627566,R93,D44,0,D44,0,0,0.1971098266
Adrenal Mass,R93.8,"An adrenal mass is a growth that is found on one of the adrenal glands, which are located on top of the kidneys. These masses are often discovered by accident during imaging tests for other reasons. Most adrenal masses are non-cancerous and do not cause any symptoms. However, some can produce hormones that might lead to symptoms like high blood pressure or weight changes. It's important to monitor the mass to ensure it doesn't grow or cause problems. If there are any concerns, further tests might be needed to understand the nature of the mass.",95,D44.1,D44.1,FALSE,FALSE,72.36,0,0,0,12.64,0.0146627566,R93,D44,0,D44,0,0,0.1971098266
Adrenal Mass,R93.8,"An adrenal mass is a growth that is found on one of the adrenal glands, which are located on top of the kidneys. These masses are often discovered by accident during imaging tests for other reasons. Most adrenal masses are non-cancerous and do not cause any symptoms. However, some can produce hormones that might lead to symptoms like high blood pressure or weight changes. It's important to monitor the mass to ensure it doesn't grow or cause problems. If there are any concerns, further tests might be needed to understand the nature of the mass.",95,D44.1,D44.1,FALSE,FALSE,72.36,0,0,0,12.64,0.0146627566,R93,D44,0,D44,0,0,0.1971098266
Adrenal Mass,R93.8,"An adrenal mass is a growth that is found on one of the adrenal glands, which are located on top of the kidneys. These masses are often discovered by accident during imaging tests for other reasons. Most adrenal masses are non-cancerous and do not cause any symptoms. However, some can produce hormones that might lead to symptoms like high blood pressure or weight gain. It's important to monitor the mass to ensure it doesn't grow or cause problems. If there are any concerns, further tests might be needed to understand the nature of the mass.",95,D44.1,D44.1,FALSE,FALSE,72.36,0,0,0,12.64,0.0146627566,R93,D44,0,D44,0,0,0.1971098266
Adrenal Cortical Adenoma,D35.00,"An adrenal cortical adenoma is a small, non-cancerous tumor found in the adrenal gland, which is located on top of the kidneys. These adenomas are often discovered by accident during imaging tests for other reasons. Most of the time, they do not cause any symptoms and do not require treatment. However, in some cases, they can produce hormones that might lead to symptoms like high blood pressure or weight gain. If you experience any unusual symptoms, it is important to discuss them with your healthcare provider to determine if further evaluation is needed.",93,D35.00,D35.00,TRUE,TRUE,61.06,1,1,1,23.94,1.608019246,D35,D35,1,D35,1,1,1.676686551
Adrenal Cortical Adenoma,D35.00,"An adrenal cortical adenoma is a small, non-cancerous tumor found in the adrenal gland, which is located on top of the kidneys. These adenomas are often discovered by accident during imaging tests for other reasons. Most of the time, they do not cause any symptoms and do not require treatment. However, in some cases, they can produce hormones that might lead to symptoms like high blood pressure or weight gain. If you experience any unusual symptoms, it is important to discuss them with your healthcare provider to determine if further evaluation is needed.",93,D35.00,D35.00,TRUE,TRUE,61.06,1,1,1,23.94,1.608019246,D35,D35,1,D35,1,1,1.676686551
