finding,ICD10_code,PFx,Word Count,PFx_ICD10_code,_0_agent_icd10_codes,_0_icd10_matches,_0_pfx_icd10_matches,_0_flesch,accuracy_agent_icd10,accuracy_pfx_icd10,accuracy,readability_difference,overall_score,GT_Trimmed,Agent_Trimmed,relaxed_accuracy_agent_icd10,pfx_icd10_trimmed,relaxed_accuracy_pfx_icd10,relaxed_accuracy,relaxed_overall_score
Adrenal Adenoma,D35.00,"An adrenal adenoma is a small, non-cancerous tumor found on the adrenal gland, which is located on top of the kidneys. These tumors are often discovered by accident during imaging tests for other reasons. Most adrenal adenomas do not cause any symptoms and do not require treatment. However, in some cases, they can produce hormones that might lead to symptoms like high blood pressure or weight gain. If you experience any unusual symptoms, it's important to let your doctor know so they can decide if any further tests or treatments are needed.",92,D35.00,D35.00,TRUE,TRUE,61.26,1,1,1,23.74,1.608084074,D35,D35,1,D35,1,1, 
Adrenal Hematoma,E27.8,"An adrenal hematoma is a collection of blood in the adrenal gland, often found by accident during imaging tests for other reasons. This condition is usually harmless and doesn't cause symptoms. Most of the time, it doesn't need any treatment and will resolve on its own. However, if you experience symptoms like pain in your side or changes in blood pressure, it's important to let your doctor know. They might want to keep an eye on it to make sure it doesn't cause any problems.",85,D35.00,D35.00,FALSE,FALSE,71.14,0,0,0,13.86,0.0134589502,E27,D35,0,D35,0,0,0.0134589502
Adrenal Hyperplasia,E27.0,"Adrenal hyperplasia is a condition where the adrenal glands, located on top of your kidneys, become larger than normal. This is often found by accident during imaging tests for other reasons. Most of the time, adrenal hyperplasia doesn't cause any symptoms and doesn't need treatment. However, in some cases, it can affect hormone levels in your body, which might lead to symptoms like fatigue, weight changes, or high blood pressure. If you notice any unusual symptoms, it's important to talk to your doctor to see if any further evaluation is needed.",91,E27.0,E27.0,TRUE,TRUE,61.46,1,1,1,23.54,1.608149959,E27,E27,1,E27,1,1,1.608149959
Adrenal Mass,R93.8,"An adrenal mass is a growth that is found on one of the adrenal glands, which are located on top of the kidneys. These masses are often discovered by accident during imaging tests for other reasons. Most adrenal masses are non-cancerous and do not cause any symptoms. However, some can produce hormones that might lead to symptoms like high blood pressure or weight gain. It's important to monitor the mass to ensure it doesn't grow or cause problems. If there are any concerns, further evaluation may be needed to decide if treatment is necessary.",94,D44.1,D44.1,FALSE,FALSE,72.46,0,0,0,12.54,0.01477104874,R93,D44,0,D44,0,0,0.01477104874
Adrenal Cortical Adenoma,D35.00,"An adrenal cortical adenoma is a small, non-cancerous tumor found in the adrenal gland, which is located on top of the kidneys. These tumors are often discovered by accident during imaging tests for other reasons. Most adrenal adenomas do not cause any symptoms and do not require treatment. However, in some cases, they can produce hormones that might lead to symptoms like high blood pressure or weight gain. If you experience any unusual symptoms, it is important to discuss them with your healthcare provider to determine if further evaluation is needed.",91,D35.00,D35.00,TRUE,TRUE,61.46,1,1,1,23.54,1.608149959,D35,D35,1,D35,1,1,1.608149959
Adrenal Hyperfunction,E27.8,"Adrenal hyperfunction means that your adrenal glands, which are small glands located on top of your kidneys, are producing more hormones than usual. These hormones help control things like your blood pressure, metabolism, and stress response. When there's too much of these hormones, it can lead to symptoms like high blood pressure, weight gain, or feeling anxious. It's important to monitor these symptoms and discuss them with your healthcare provider, as they can help determine the best way to manage them and keep you feeling your best.",87,E27.8,E27.8,TRUE,TRUE,66.27,1,1,1,18.73,1.610136847,E27,E27,1,E27,1,1,1.610136847
Adrenal Gland Tumor,D44.7,"An adrenal gland tumor is a growth that can be found on one of the adrenal glands, which are located on top of the kidneys. These tumors are often discovered by accident during imaging tests for other reasons. Most adrenal gland tumors are non-cancerous and do not cause symptoms. However, some can produce hormones that might lead to symptoms like high blood pressure, weight gain, or changes in mood. It's important to monitor these tumors to ensure they do not grow or cause health issues. If symptoms occur, further evaluation may be needed.",93,D35.00,D35.00,FALSE,FALSE,72.66,0,0,0,12.34,0.01499250375,D44,D35,0,D35,0,0,0.01499250375
Adrenal Cyst,E27.8,"An adrenal cyst is a fluid-filled sac that can form on the adrenal glands, which are located on top of your kidneys. These cysts are often found by accident during imaging tests for other reasons. Most adrenal cysts are benign, meaning they are not cancerous, and they usually do not cause any symptoms. Because they are generally harmless, they often do not need any treatment. However, if the cyst becomes large or causes symptoms like pain or hormonal changes, further evaluation may be necessary to decide if any action is needed.",91,E27.8,E27.8,TRUE,TRUE,61.46,1,1,1,23.54,1.608149959,E27,E27,1,E27,1,1,1.608149959
Bladder Diverticulum,N32.3,"A bladder diverticulum is a small pouch that forms in the bladder wall. It is often found by accident during imaging tests for other reasons. Most of the time, these pouches do not cause any problems and do not need treatment. However, if they become large or cause symptoms like frequent urinary tract infections or trouble emptying the bladder, it might be necessary to talk to a doctor about possible treatments. These could include monitoring the condition or, in some cases, surgery to remove the diverticulum.",86,N32.3,N32.3,TRUE,TRUE,62.48,1,1,1,22.52,1.608503401,N32,N32,1,N32,1,1,1.608503401
Bladder Mass,R93.4,"A bladder mass is a growth or lump found in the bladder, often discovered during imaging tests for other reasons. It's important to know that not all bladder masses are cancerous. Some can be benign, meaning they are not harmful. However, further evaluation is usually needed to determine the nature of the mass. This might involve additional tests like a cystoscopy, where a small camera is used to look inside the bladder, or a biopsy, where a small sample of the mass is taken for testing. Understanding the type of mass is crucial for deciding the next steps in care.",100,N28.89,R93.4,TRUE,FALSE,62.98,1,0,0.5,22.02,0.8086880973,R93,R93,1,N28,0,0.5,0.8086880973
