finding,word Count,_0_flesch,accuracy,relaxed_accuracy,relaxed_overall_score
Adrenal Adenoma,2,61.87,31.935,16.9675,1.67667864
Adrenal Adenoma,2,64.2,33.1,17.55,1.6766526
Adrenal Adenoma,2,64.2,33.1,17.55,1.6766526
Adrenal Adenoma,2,64.2,33.1,17.55,1.6766526
Adrenal Adenoma,2,56.55,29.275,15.6375,1.67672268
Adrenal Hematoma,2,70.53,36.265,19.1325,0.19744735
Adrenal Hematoma,2,70.94,36.47,19.235,0.19737877
Adrenal Hematoma,2,62.27,32.135,17.0675,0.19832846
Adrenal Hematoma,2,62.27,32.135,17.0675,0.19832846
Adrenal Hematoma,2,72.97,37.485,19.7425,0.19697657
Adrenal Hyperplasia,2,70.13,36.065,19.0325,1.67655202
Adrenal Hyperplasia,2,61.26,31.63,16.815,1.67668464
Adrenal Hyperplasia,2,61.06,31.53,16.765,1.67668655
Adrenal Hyperplasia,2,71.65,36.825,19.4125,1.67651293
Adrenal Hyperplasia,2,70.53,36.265,19.1325,1.67654248
Adrenal Mass,2,72.36,37.18,19.59,0.19710983
Adrenal Mass,2,72.36,37.18,19.59,0.19710983
Adrenal Mass,2,72.36,37.18,19.59,0.19710983
Adrenal Mass,2,72.36,37.18,19.59,0.19710983
Adrenal Mass,2,72.36,37.18,19.59,0.19710983
Adrenal Cortical Adenoma,3,61.06,32.03,17.515,1.67668655
Adrenal Cortical Adenoma,3,61.06,32.03,17.515,1.67668655
Adrenal Cortical Adenoma,3,61.46,32.23,17.615,1.67668271
Adrenal Cortical Adenoma,3,61.46,32.23,17.615,1.67668271
Adrenal Cortical Adenoma,3,68.91,35.955,19.4775,1.67657839
Adrenal Hyperfunction,2,78.38,40.19,21.095,1.67615431
Adrenal Hyperfunction,2,78.99,40.495,21.2475,1.67608814
Adrenal Hyperfunction,2,78.18,40.09,21.045,1.67617378
Adrenal Hyperfunction,2,79.19,40.595,21.2975,1.67606389
Adrenal Hyperfunction,2,78.99,40.495,21.2475,1.67608814
Adrenal Gland Tumor,3,72.36,37.68,20.34,0.19710983
Adrenal Gland Tumor,3,71.85,37.425,20.2125,0.19721254
Adrenal Gland Tumor,3,71.85,37.425,20.2125,0.19721254
Adrenal Gland Tumor,3,71.65,37.325,20.1625,0.19725086
Adrenal Gland Tumor,3,72.87,37.935,20.4675,0.19699925
Adrenal Cyst,2,69.52,35.76,18.88,0.910367
Adrenal Cyst,2,68.91,35.455,18.7275,0.91039339
Adrenal Cyst,2,61.06,31.53,16.765,0.91061829
Adrenal Cyst,2,61.67,31.835,16.9175,0.91060599
Adrenal Cyst,2,68.91,35.455,18.7275,0.91039339
Bladder Diverticulum,2,70.94,36.47,19.235,1.67653217
Bladder Diverticulum,2,70.73,36.365,19.1825,1.67653752
