finding,word Count,_0_flesch,accuracy,relaxed_accuracy,relaxed_overall_score
Adrenal Adenoma,2,56.55,29.275,15.6375,1.67672268
Adrenal Hematoma,2,62.27,32.135,17.0675,0.19832846
Adrenal Hyperplasia,2,61.06,31.53,16.765,1.67668655
Adrenal Mass,2,72.36,37.18,19.59,0.19710983
Adrenal Cortical Adenoma,3,61.06,32.03,17.515,1.67668655
Adrenal Hyperfunction,2,78.18,40.09,21.045,1.67617378
Adrenal Gland Tumor,3,71.65,37.325,20.1625,0.19725086
Adrenal Cyst,2,61.06,31.53,16.765,0.91061829
Bladder Diverticulum,2,62.48,32.24,17.12,1.67667232
Bladder Mass,2,63.39,32.695,17.3475,0.91056775
Bladder Wall Thickening,3,64.51,33.755,18.3775,0.91053958
Bladder Stone,2,60.85,31.425,16.7125,1.67668852
Bladder Cyst,2,65.42,33.71,17.855,0.19807507
Bladder Calculus,2,70.13,36.065,19.0325,1.67655202
Bladder Cancer,2,63.7,32.85,17.425,1.67665865
Bladder Diverticula,2,49.11,25.555,13.7775,1.67676301
Neurogenic Bladder,2,35.47,18.735,10.3675,1.67680615
Gallbladder Polyps,2,64.51,33.255,17.6275,1.79815583
Cholelithiasis,1,70.73,35.865,18.4325,1.67653752
Gallstones,1,64.41,32.705,16.8525,1.67664998
Gallbladder Sludge,2,61.26,31.63,16.815,0.19839615
Gallbladder Wall Thickening,3,54.42,28.71,15.855,0.19874135
Gallbladder Tumor,2,61.46,31.73,16.865,1.67668271
Adenomyomatosis,1,54.42,27.71,14.355,1.71072155
Porcelain Gallbladder,2,51.99,26.995,14.4975,1.67674949
Gallbladder Agenesis,2,45.56,23.78,12.89,1.67677704
Intestinal Polyp,2,64.2,33.1,17.55,1.6766526
Diverticulosis,1,60.45,30.725,15.8625,1.67669218
Appendicitis,1,45.15,23.075,12.0375,1.6767785
Ileus,1,55.54,28.27,14.635,1.67672931
Bowel Wall Thickening,3,69.72,36.36,19.68,0.19757282
Intussusception,1,59.6,30.3,15.65,1.67669959
Crohn's Disease,2,65.22,33.61,17.805,1.67663937
Intestinal Wall Thickening,3,69.72,36.36,19.68,0.19757282
Colonic Diverticula,2,63.09,32.545,17.2725,1.67666566
Colonic Polyp,2,69.11,35.555,18.7775,1.67657433
Mesenteric Cyst,2,71.85,36.925,19.4625,0.19721254
Intestinal Stricture,2,56.79,29.395,15.6975,1.67672104
Simple Renal Cyst,3,60.85,31.925,17.4625,1.67668852
Angiomyolipoma,1,61.67,31.335,16.1675,1.67668064
Hydronephrosis,1,65.05,33.025,17.0125,1.67664167
Kidney Stones,2,75.3,38.65,20.325,1.67637402
Renal Atrophy,2,72.87,37.435,19.7175,1.79699925
Renal Mass,2,56.25,29.125,15.5625,0.19866444
Polycystic Kidney Disease,3,54.22,28.61,15.805,1.67673734
Renal Cortical Thinning,3,46.47,24.735,13.8675,0.1989932
Renal Cyst with Septations,4,69.11,36.555,20.2775,1.67657433
Medullary Sponge Kidney,3,64.91,33.955,18.4775,1.67664353
Renal Artery Aneurysm,3,69.11,36.055,19.5275,1.67657433
Hepatic Cyst,2,57.61,29.805,15.9025,1.79860091
Hepatic Hemangioma,2,54.02,28.01,15.005,1.67673849
Hepatomegaly,1,55.74,28.37,14.685,1.67672803
Liver Steatosis,2,52.8,27.4,14.7,1.67674526
Liver Cirrhosis,2,52.39,27.195,14.5975,1.710745
Liver Mass,2,71.85,36.925,19.4625,1.79721254
Hepatic Adenoma,2,55.95,28.975,15.4875,1.67672667
Liver Metastasis,2,61.26,31.63,16.815,1.67668464
Liver Hemangioma,2,69.72,35.86,18.93,1.67656132
Focal Nodular Hyperplasia,3,53.0,28.0,15.5,0.19879518
Hepatic Steatosis,2,51.78,26.89,14.445,1.67675055
Hepatic Calcification,2,46.98,24.49,13.245,1.71079562
Liver Abscess,2,63.09,32.545,17.2725,1.67666566
Hepatic Regeneration Nodule,3,52.39,27.695,15.3475,1.67674743
Pancreatic Cyst,2,61.67,31.835,16.9175,1.67668064
Pancreatic Pseudocyst,2,56.05,29.025,15.5125,1.67672602
Pancreatic Mass,2,63.39,32.695,17.3475,0.91056775
Pancreatitis,1,48.3,24.65,12.825,1.67676644
Pancreatic Atrophy,2,51.99,26.995,14.4975,1.79883075
Intraductal Papillary Mucinous Neoplasm,4,62.48,33.24,18.62,1.79831366
Pancreatic Calcification,2,40.18,21.09,11.545,1.79913081
Pancreatic Fatty Infiltration,3,44.75,23.875,13.4375,1.79903498
Retroperitoneal Fibrosis,2,69.31,35.655,18.8275,1.79763174
Retroperitoneal Mass,2,65.42,33.71,17.855,0.19807507
Retroperitoneal Tumor,2,61.26,31.63,16.815,1.79839615
Retroperitoneal Hematoma,2,53.61,27.805,14.9025,0.19877263
Retroperitoneal Fibromatosis,2,52.6,27.3,14.65,0.99880952
Retroperitoneal Lymphadenopathy,2,61.67,31.835,16.9175,1.79836934
Splenomegaly,1,67.49,34.245,17.6225,1.67660473
Splenic Cyst,2,64.54,33.27,17.635,1.67664833
Splenic Infarction,2,72.16,37.08,19.54,1.6764979
Accessory Spleen,2,61.26,31.63,16.815,0.99839615
Splenic Mass,2,58.32,30.16,16.08,0.19856528
Splenic Calcification,2,56.96,29.48,15.74,0.19863201
Splenic Laceration,2,58.32,30.16,16.08,1.79856528
Gastric Polyp,2,72.36,37.18,19.59,0.19710983
Gastric Ulcer,2,65.42,33.71,17.855,1.67663663
Gastric Wall Thickening,3,64.2,33.6,18.3,0.19818182
Bezoar,1,73.88,37.44,19.22,0.19675325
Gastritis,1,53.41,27.205,14.1025,1.67674194
Hiatal Hernia,2,56.25,29.125,15.5625,1.67672469
