Body_Part,Incidental_Finding,ICD10_code,
Head,White matter lesions,R90.82,
Head,Arachnoid cyst,Q04.3,
Head,Pituitary microadenoma,D35.2,
Head,Pineal cyst,Q04.6,
Head,Chiari I malformation,Q07.0,
Neck,Thyroid nodule,E04.1,
Neck,Cervical lymphadenopathy,R59.0,
Neck,Parotid gland cyst,K11.4,
Neck,Carotid artery stenosis,I65.2,
Neck,Cervical disc herniation,M50.20,
Chest,Pulmonary nodule,R91.1,
Chest,Mediastinal lymphadenopathy,R59.1,
Chest,Hiatal hernia,K44.9,
Chest,Coronary artery calcification,I25.10,
Chest,Pericardial effusion,I31.3,
Abdomen,Liver cyst,K76.89,
Abdomen,Renal cyst,N28.1,
Abdomen,Adrenal adenoma,D35.00,
Abdomen,Pancreatic cyst,K86.2,
Abdomen,Splenomegaly,R16.1,
Pelvis,Ovarian cyst,N83.20,
Pelvis,Uterine fibroid,D25.9,
Pelvis,Prostatic hypertrophy,N40.0,
Pelvis,Pelvic lymphadenopathy,R59.1,
Pelvis,Bladder diverticulum,N32.3,
